name
Jon Bernthal
Claude Berri
Elizabeth Berrington
Jackie Berroyer
Chuck Berry
Glen Berry
Halle Berry
John Berry
Jules Berry
Ken Berry
Marilou Berry
Matt Berry
Richard Berry
Sudesh Berry
Dorothée Berryman
Julien Bertheau
Francesca Bertini
Juliet Berto
Bernardo Bertolucci
Jacob Bertrand
Bibi Besch
Ion Besoiu
Luc Besson
Edna Best
James Best
Leanne Best
Martine Beswick
Tabrett Bethell
Sabine Bethmann
Paul Bettany
Lyle Bettger
Laura Betti
Angela Bettis
Matthew Betz
Antoinette Beumer
Charlie Bewley
Turhan Bey
Alexander Beyer
Frank Beyer
Richard Beymer
Beyoncé
Rémi Bezançon
Sergey Bezrukov
Erdal Beşikçioğlu
Jaya Bhaduri
Krishna Bhagavan
M. K. Thyagaraja Bhagavathar
Bhagwan
Bhagyaraj
Jaswinder Bhalla
Madhur Bhandarkar
Samit Bhanja
Sanjay Leela Bhansali
Bhanupriya
Kishore Bhanushali
Tanikella Bharani
Bharathan
Bharathi
Bharathiraja
Vishal Bhardwaj
Manju Bhargavi
Divya Bharti
Adoor Bhasi
Sanjeev Bhaskar
Swara Bhaskar
P. Bhaskaran
Tamanna Bhatia
Tamannaah Bhatia
Deepti Bhatnagar
Hrishitaa Bhatt
Mahesh Bhatt
Pooja Bhatt
Urmila Bhatt
Vikram Bhatt
Abhi Bhattacharya
Basu Bhattacharya
Bijon Bhattacharya
Ace Bhatti
Jaspal Bhatti
Bhavana
A. Bhimsingh
Aryann Bhowmik
Bharat Bhushan
Gongbei Bi
Daniela Bianchi
Giorgio Bianchi
Tony Lo Bianco
Fu Biao
Leslie Bibb
Abner Biberman
Herbert Biberman
Bruno Bichir
Demián Bichir
Charles Bickford
Jean-Luc Bideau
Michael Biehn
Jessica Biel
Fabián Bielinsky
Paul Biensfeldt
Susanne Bier
Josef Bierbichler
Ramon Bieri
Craig Bierko
Claudio Bigagli
Kathryn Bigelow
Jason Biggs
Sangeeta Bijlani
Theodore Bikel
Paul Bildt
Haluk Bilginer
Tony Bill
Earl Billings
John Billingsley
Peter Billingsley
Francelia Billington
Rachel Bilson
Charles Binamé
Bai Bing
Fanbing Bing
Herman Bing
Shao Bing
Juliette Binoche
Benjamin Biolay
Mike Birbiglia
Thora Birch
Antonia Bird
Brad Bird
Laurie Bird
Simon Bird
Willy Birgel
Leo Birinski
Jane Birkin
Serafima Birman
Gil Birmingham
Laura Birn
Fernando Birri
Taner Birsel
Eva Birthistle
Roberto Bisacco
David Bisbal
Georges Biscot
Joey Bishop
Kevin Bishop
Kerry Bishé
